Вакансия;Ссылка;Компания;Зарплата;Станция метро
Middle QA engineer (gamedev);https://spb.hh.ru/vacancy/36494434?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; MP Games ;Middle QA engineer (gamedev);Горьковская
Ведущий инженер по тестированию ПО / Senior/Middle QA Engineer;https://spb.hh.ru/vacancy/34461020?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Самокат (ООО Умное пространство) ;Ведущий инженер по тестированию ПО / Senior/Middle QA Engineer;Петроградская
QA Engineer for IoT Project;https://spb.hh.ru/vacancy/36856421?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; HiQo Solutions ;QA Engineer for IoT Project;Площадь Александра Невского 1
Junior QA Engineer;https://spb.hh.ru/vacancy/36649143?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Playvision ;Junior QA Engineer;Выборгская
Тестировщик ПО;https://spb.hh.ru/vacancy/36842783?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Comfi ;Тестировщик ПО;Не указано
Senior Fullstack Web Developer в команду Hyperskill;https://spb.hh.ru/vacancy/36854499?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Цифровые Образовательные Решения ;Senior Fullstack Web Developer в команду Hyperskill;Не указано
DevOps;https://spb.hh.ru/vacancy/36108163?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Группа Компаний MVS ;DevOps;Чкаловская
Руководитель проекта (разработка и внедрение ПО);https://spb.hh.ru/vacancy/34497951?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Наука ;Руководитель проекта (разработка и внедрение ПО);Политехническая
Ведущий специалист по тестированию и внедрению;https://spb.hh.ru/vacancy/36597633?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Конфидент ;Ведущий специалист по тестированию и внедрению;Елизаровская
QA engineer;https://spb.hh.ru/vacancy/31004953?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Cardsmobile ;QA engineer;Чкаловская
Middle Automation QA Engineer;https://spb.hh.ru/vacancy/36887816?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Ready for Sky ;Middle Automation QA Engineer;Нарвская
QA Specialist (геймдев);https://spb.hh.ru/vacancy/36885996?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Плейджендари Ру ;QA Specialist (геймдев);Не указано
Руководитель ИТ-проектов;https://spb.hh.ru/vacancy/35165161?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Специальный Технологический Центр ;Руководитель ИТ-проектов;Не указано
QA Engineer;https://spb.hh.ru/vacancy/31629440?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Emlid ;QA Engineer;Не указано
Инженер по тестированию (Биометрические системы);https://spb.hh.ru/vacancy/36574809?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ЦРТ | Группа компаний ;Инженер по тестированию (Биометрические системы);Выборгская
IT Project manager / Менеджер проекта;https://spb.hh.ru/vacancy/36156827?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Fortis ;IT Project manager / Менеджер проекта;Звёздная
Менеджер проектов/Project Manager;https://spb.hh.ru/vacancy/35318904?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA;ООО Яндекс.Деньги, НКО ;Менеджер проектов/Project Manager;Не указано
Project manager/ Менеджер проектов;https://spb.hh.ru/vacancy/36649570?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ИЛЛАН, рекламная группа ;Project manager/ Менеджер проектов;Крестовский остров
Технический писатель;https://spb.hh.ru/vacancy/36657566?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ПЕРВЫЙ ЦУПИС ;Технический писатель;Не указано
Специалист по нагрузочному тестированию (QA Engineer);https://spb.hh.ru/vacancy/36880835?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; КОРУС Консалтинг СНГ ;Специалист по нагрузочному тестированию (QA Engineer);Не указано
Mobile QA Engineer Manual (Senior);https://spb.hh.ru/vacancy/36881061?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; QuadCode ;Mobile QA Engineer Manual (Senior);Не указано
QA Engineer;https://spb.hh.ru/vacancy/32881669?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Wrike ;QA Engineer;Площадь Ленина
Senior PL/SQL developer;https://spb.hh.ru/vacancy/36890488?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;Senior PL/SQL developer;Не указано
Инженер по автоматизации тестирования (iOS, XCTest/Swift);https://spb.hh.ru/vacancy/33948403?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; ВКонтакте ;Инженер по автоматизации тестирования (iOS, XCTest/Swift);Не указано
Data Analyst (BI);https://spb.hh.ru/vacancy/36841087?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Exness ;Data Analyst (BI);Не указано
Программист Java;https://spb.hh.ru/vacancy/36365197?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; СПЕКТР ;Программист Java;Московская
Главный разработчик PL/SQL;https://spb.hh.ru/vacancy/36890500?query=%D0%A2%D0%B5%D1%81%D1%82%D0%B8%D1%80%D0%BE%D0%B2%D1%89%D0%B8%D0%BA; Сбербанк для экспертов ;Главный разработчик PL/SQL;Не указано
